DocumentSource,SlideNumber,Content
OCEANOL_Sales Deck_June2025.pdf,14,"FORMULA OCEAN MIST Citrus Herbal Fresh Floral Fruity Dihydro Myrcenol Lemon Heart LMR Cypress Oil Eucalyptol Rosemary Oil North Africa LMR Calone Oceanol Benzyl Acetate Benzyl Benzoate Floral Super Floralozone Methyl Dihydro Jasmonate Phenyl Ethyl Alcohol Aldehyde C-18 Allyl Amyl Glycolate Undecalactone Gamma Veltol Plus IFF IFF IFF IFF IFF IFF IFF IFF *formula continues over next column CANDLE 8% (-) 150.00 9.00 3.00 15.00 1.00 2.50 40.00 213.00 1.00 10.00 200.00 75.00 30.00 10.00 12.50 2.50 (+) 2.00 Balsamic Musk Amber Woody Powdery/sweet Tobacco/hay Salicynalva Sinfonide Amber Xtreme Bacdanol lonone Beta Extra Iso E Super Ethyl Vanillin Coumarin IFF IFF IFF IFF IFF TOTAL: (-) 9.00 9.00 2.50 25.00 15.00 150.00 10.00 15.00 (+) 1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,1,"Confidential
Confidential"
TROPICALIA_Sales Deck_Mar2025.pdf,2,"Confidential
Confidential"
TROPICALIA_Sales Deck_Mar2025.pdf,3,"PERFUMERS' QUOTES Tropicalia is an ultra-high impact ingredient with great diffusion. It evokes a memory of tropical environment, particularly the juicy tropical fruits. It has facets of a hint of a mint & white flower, quite unique in olfaction. Milind Davare, Vice President Perfumer ""Tropicalia is a unique, outspoken ingredient that will push the performance and _ bring a new dimension to your creations."" Elise Pajot, Perfumer Tropicalia is a fruity cocktail that can be used in floral-fruity compositions. It has a well-balanced blend of tropical mango, peach, and guava notes with a touch of apple sweetness. It has the power to enhance fruity and citrus notes. Jui B Kokate, Junior Technical Perfumer"
TROPICALIA_Sales Deck_Mar2025.pdf,4,"TROPICALIA ethyl (1R,2R,4R)-bicyclo[2.2.1]hept-5-ene-2-carboxylate IPC NUMBER 050206 g Vegan FRUITY Suitable Fruity, Floral, Green NOTE IMPACT TOP MB High HEART MB High BASE HM Medium OLFACTORY DESCRIPTION A very impactful fruity/ tropical/ exotic note giving richness/ opulence to any white flower accord with a touch of green minty leaves. CHEMICAL FORMULA CAS NUMBER ALLERGEN LOG P C49H1 402 10138-32-6 No allergens 2.81 VISUAL DESCRIPTION GC SUMMARY FLASH POINT MOLECULAR WEIGHT Clear, colorless liquid Sum of isomers +98% 783 C 166.0993 SUBSTANTIVITY ECOTOX TYPICAL USE LEVEL 24 hours H412 Traces to 0.2% PRODUCT Fine Fragrance Shampoo Soap Liquid Detergent Powder Detergent Fabric Conditioner All Purpose Cleaner Candle Bleach PERFORMANCE Good Good Excellent Good Moderate Very Good Good Good Poor STABILITY Good Good Very Good Good Moderate Good Good Good Poor"
TROPICALIA_Sales Deck_Mar2025.pdf,5,"' re =. iy STRAWBERRY 4 BLOSSOM Created by Elise Pajot, Perfumer Application Fabric Conditioner 1% TROPICALIA OLFACTIVE le. Pineapple DESCRIPTION ' PP A comforting strawberry note intertwined with a luxurious floral core, elegantly complemented by cedarwood and a touch of vanilla. Lily of the valley, White flowers, Orange flower Vanilla, Peach, Cedarwood BASE"
TROPICALIA_Sales Deck_Mar2025.pdf,6,"FORMULA STRAWBERRY Herbal Green Floral Fruity Tetrahydro Linalool Hexenol, Cis-3 Triplal Undecavertol Verdural B Extra Benzyl Acetate Cyclamal Dupical Hexyl Cinnamic Aldehyde Methyl Dihydro Jasmonate Rhubafuran 10% Yara Yara Ylanganate IF F Allyl Heptanoate Decalactone Gamma Methyl Anthranilate Raspberry Ketone Tropicalia 10% IFF Veltol Plus BLOSSOM (-) 130.00 4.00 13.00 32.00 6.00 80.00 35.00 2.50 135.00 160.00 3.50 15.00 2.50 13.00 45.00 6.50 4.00 3.00 *formula continues over next column (+2.5) 2.50 FABRIC CONDITIONER 1% (+5) 5.00 Minty Balsamic Woody Powdery/sweet Tobacco/hay Methyl Salicylate Hexyl Salicylate Methyl Cinnamate lonone Alpha Iso E Super Ethyl Vanillin Aubepine IFF (-) 2.00 130.00 13.00 10.00 125.00 13.00 17.00 1,000.00 (+2.5) 122.50 (+5) 120.00 1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,7,"OLFACTIVE DESCRIPTION The fragrance opens up on juicy cranberries invigorated by fresh citruses and bright blackcurrant and moves into a soft floral heart of pink roses, jasmine and powdery violet, wrapped up by Whites musks and balsamic undertones. TROPICALIA BASE CRANBERRY & HIBISCUS Created by Elise Pajot, Perfumer Application All Purpose Cleaner 0.3% ft Bergamot, Blackcurrant, (@eanberry, Orange, Apple Pink roses, Jasmine, Violet White musk, Sandalwood, Balsamic"
TROPICALIA_Sales Deck_Mar2025.pdf,8,"FORMULA CRANBERRY & HIBISCUS Citrus Herbal Green Floral Bergamal Lemonile Mangone 0.1% Orange Oil CP Spain LMR 10% Herbavert Hexenyl Acetate, Cis-3 Vertoliff Benzyl Acetate Citronellol 950 Delphone Floralozone Rose Oxide Styralyl Acetate *formula continues over next column IFF IFF IFF IFF IFF (-) 30.00 30.00 6.00 80.00 9.00 7.00 90.00 80.00 80.00 8.00 14.00 2.00 40.00 (+) Fruity Balsamic Musk Woody Tobacco/hay Animalic ALL PURPOSE CLEANER 0.3% Cassiffix Cassis Base Decalactone Gamma Delta Damascone Dimethyl Benzyl Carbinyl Acetate Fragarone 10% Manzanate Nectarate Tropicalia Verdox Hexyl Salicylate Ambrettolide Bacdanol Methyl lonone Gamma A Aubepine Indole 10% IFF IFF IFF IFF IFF IFF IFF 10.00 20.00 30.00 10.00 20.00 16.00 20.00 100.00 195.00 80.00 3.00 8.00 44.00 10.00 2.00 1,000.00 (+) 2.00 193.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,9,"OLFACTIVE DESCRIPTION A sophisticated floral blend featuring fresh rose, jasmine, and carnation, invigorated by airy aldehydes, enveloped in comforting notes of sandalwood, musks, tonka bean, and a touch of leather. TROPICALIA BASE BLUE CARESS Created by Elise Pajot, Perfumer Application Fabric Conditioner 1% 7 Liry aldehydes, ane Jasmine, Carnation, Fresh rose Amber, Musk, Sandalwood, Tonka bean, Moss, Patchouli"
TROPICALIA_Sales Deck_Mar2025.pdf,10,"FORMULA BLUE CARESS Herbal Iso Bornyl Acetate Aldehyde C-12 MNA Fresh Myrac Aldehyde IF F Dupical Naar Nerolin Floral Peonile Rose Oxide Cyclacet Delta Damascone IF F Geranyl Acetate IF F Fruity Manzanate Oxane 50 % 10% Tropicalia 10% IFF Veltol Plus Eugenol Spicy Veraspice IFF Balsamic Amy! Salicylate Amber Xtreme IF F Amber Ambertonic IFF Cashmeran IFF *formula continues over next column FABRIC CONDITIONER 1% (-) 90.00 33.00 20.00 4.00 24.00 80.00 6.00 130.00 16.00 15.60 14.00 3.00 30.00 24.00 8.00 120.00 3.00 10.00 14.00 (+) 128.00 2.00 Woody Mossy Powdery/sweet Tobacco/hay Animalic Bacdanol Karmawood Patchouli Oil Indonesia MD Veramoss Vertenex Iso Butyl Quinoline Ethyl Vanillin Coumarin Indole IFF IFF IFF IFF IFF TOTAL: 40.00 12.00 40.00 10.00 160.00 2.40 30.00 60.00 1.00 (+) 1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,11,"VITALIA Created by Elise Pajot, Perfumer Application Shampoo 1% 0 icy pear, papple, Peach TROPICALIA OLFACTIVE DESCRIPTION The fragrance opens on a bright fruity blend of juicy pear, pineapple and creamy peach well supported by delicate flowers and fluffy white musk with a touch of vanilla. Rose, Lily of valley, Fresh Jasmine Vanilla, White musks, BASE Cedarwood"
TROPICALIA_Sales Deck_Mar2025.pdf,12,"FORMULA VITALIA Green Floral Fruity Hexenyl Acetate, Cis-3 Triplal Benzyl Acetate Cyclamal Methyl Dihydro Jasmonate Phenoxy Ethyl Iso Butyrate Allyl Caproate Allyl Cyclohexyl Propionate Allyl Heptanoate Cyclaprop Dimethyl Benzyl Carbinyl Acetate Dimethyl Benzyl Carbiny!l Butyrate Ethyl-2-Methyl Butyrate Fructone Manzanate Methyl Caprylate Methyl Eth Ketone New Prenyl Acetate Tropicalia 10% Undecalactone Gamma Veltol Plus Verdox SHAMPOO 1% IFF IFF IFF IFF *formula continues over next column (-) 10.00 20.00 28.00 48.00 144.70 35.00 14.00 12.00 35.00 30.00 35.00 40.00 20.00 20.00 16.00 0.50 0.80 8.00 80.00 9.00 95.00 (+) 143.30 1.40 Hexyl Salicylate Balsamic Methyl Cinnamate 10% Ambrettolide Musk Galaxolide Undiluted Woody Iso E Super Powdery/sweet Ethyl Vanillin IFF IFF IFF TOTAL: (-) (+) 110.00 8.00 7.00 123.00 35.00 20.00 1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,13,"OLFACTIVE DESCRIPTION A very interesting floral-fruity creation with sweet, sparkling berry notes, combined with powdery backnotes. TROPICALIA BASE FRUIT PUNCH Created by Jui B Kokate, Junior Technical Perfumer Application Shower Gel 1% Gil ergamot, Pineapple, e, Peach Ylang, Violet flower, Rose, Jasmin Woody, Spice"
TROPICALIA_Sales Deck_Mar2025.pdf,14,"FORMULA FRUITY PUNCH Citrus Herbal Green Floral Dihydro Myrcenol Linalyl Acetate Tetrahydro Myrcenol Eucalyptol 10% Linalool Galbanum Reco w/o Myrcene 10% Hexenol, Cis-3 Hexenyl Formate,cis-3 Citronellol, - Citronellyl Acetate Dihydro Beta lonone Geraniol 980 Hexyl Cinnamic Aldehyde Jasmin Lactone Jasmone Cis Kharismal Super Methyl Octin Carbonate Nonadienol,2-trans-6-cis 10% Phenyl Ethyl Alcohol Rose Essential 10% LMR Rose Oxide 10% Ylang Ylang Oil Complete Madagascar *formula continues over next column IFF IFF IFF IFF IFF IFF IFF SHOWER GEL (-) 30.00 15.00 90.00 9.00 40.00 2.00 17.00 2.00 20.00 2.00 70.00 35.00 50.00 8.00 2.00 150.00 3.00 2.00 15.00 25.00 2.00 20.00 (+) 1% Fruity Spicy Woody Decalactone Gamma Ethyl Caproate 1% Geranyl Acetate Methyl Anthranilate 10% Tropicalia Veraspice lonone Alpha lonone Beta DPG IFF IFF IFF TOTAL: 50.00 15.00 4.00 20.00 2.00 70.00 250.00 24.00 (+) 5.00 19.00 1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,15,"OLFACTIVE DESCRIPTION A sensual vanilla fragrance accentuated by creamy sandalwood and precious ambers is freshened up by delicate violet and dewy jasmine. BASE VANIANI Created by Elise Pajot, Perfumer Application Alcohol 10% (Blotter number - 7 Minus: 07 Plus: 02) Reach, Coconut, emzoin Clove, Jasmin, Violet flower Vanilla bean, Warm amber, Sandalwood, Tonka bean"
TROPICALIA_Sales Deck_Mar2025.pdf,16,"FORMULA VANIANI ALCOHOL 10% (-) (+) (-) (+) Jasmin Absolute India LMR 10% IF F 1.50 Ebanol 23.00 Floral Methyl Dihydro Jasmonate 381.00 371.00 Methyl lonone Gamma A 8.00 Aldehyde C-18 11.00 Woody Sacrazole-018 1% 25.00 Allyl Cyclohexyl Propionate 10% 1.50 Sandalwood Oil New Caledonia LMR IF F 1.50 Decalactone Gamma 2.00 Timbersilk IF F 70.00 Fruity Palatone 2.00 Ethyl Vanillin 270.00 Powdery/sweet Tropicalia 1% IFF - 10.00 Vanillin 155.00 Veltol Plus 2.50 Tobacco/hay Coumarin 8.00 Benzoin Resinoid SIAM Blo 50% TEC IFF 8.00 Creosol #340 1% 11.00 1,000.00 1,000.00 Balsamic Ultravanil Q Colipa 1.50 Vanilla CO2 Org Fair LMR IF F 0.80 Musk Bellanone 2.00 Amber Xtreme 1% IFF 7.00 Amber Ambermor IF F 4.70 Ciste Abs Sis F0785 10% 3.00 *formula continues over next column C iff Blotter number (-): 07 (+): 02"
TROPICALIA_Sales Deck_Mar2025.pdf,17,"TROPICALIA OLFACTIVE DESCRIPTION A beautiful lavender accentuated by powdery vanilla and tonka bean, enveloped in soft musks and a sensual leathery undertone. BASE LAVANDOLIA Created by Elise Pajot, Perfumer Application Alcohol 10% (Blotter number - 7 Minus: 05 Plus: 06) avender, Sage, Benzoin, Musk Vanilla, Tonka bean, Moss, Leathery"
TROPICALIA_Sales Deck_Mar2025.pdf,18,"FORMULA LAVANDOLIA Citrus Herbal Green Fruity Aromatic Balsamic Musk Amber Linalyl Acetate Clary Sage Oil French Linalool Hexenyl Butyrate, Cis-3 10% Carrot Heart Tropicalia 1% Lavandin Absolute MD Lavandin Grosso Oil Lavender Oil Bulgaria CSM LMR Amyl Salicylate Benzoin Resinoid SIAM Blo 50% TEC Bellanone Cashmeran FF Ciste Abs Sis F0785 1% Operanide IFF IFF IFF IFF IFF IFF IFF IFF IFF IFF ALCOHOL 10% (-) 180.00 14.00 140.00 6.00 2.00 20.00 270.00 120.00 40.00 2.00 20.00 40.00 4.00 4.00 *formula continues over next column (+) 170.00 10.00 Woody Veramoss Mossy Iso Butyl Quinoline 10% Powdery/sweet Vanillin Tobacco/hay Coumarin IFF IFF TOTAL: 6.00 2.00 80.00 50.00 1,000.00 1,000.00 iff Blotter number (-): 05] (+): 06"
TROPICALIA_Sales Deck_Mar2025.pdf,19,"SCARLETT Created by Elise Pajot, Perfumer Application Alcohol 10% TROPICALIA (Blotter number - 7 Minus: 03 Plus: 04) OLFACTIVE oem Peach, DESCRIPTION A captivating fusion of exotic woods like patchouli, vetiver, and sandalwood, elegantly complemented by luxurious ambers, intertwined with enchanting cherry notes. Violet, Jasmine Tonka bean, Cedarwood, Sandal, Vetiver, Ambers, White musks BASE"
TROPICALIA_Sales Deck_Mar2025.pdf,20,"FORMULA SCARLETT ALCOHOL 10% (-) (+) (-) (+) Green Hexenol, Cis-3 4.00 Cedramber IFF 120.00 Damascenone IFF 5.60 Ebanol No 60.00 Floral Methyl Dihydro Jasmonate 164.00 162.00 lonone Beta Extra No 180.00 Davana Oil IFF 8.00 Woody Patchouli Oil Light IFF 20.00 Decalactone Gamma 9.60 Veramoss IFF 4.00 Dimethyl Benzyl Carbinyl Butyrate 28.00 Vetiver Concentrate MD FOR j-- 12.00 LIFE LMR ; Dodecalactone, Gamma 2.40 Fruity Aubepine No 20.00 Ethyl Aceto Acetate 28.00 Tobacco/hay ; Coumarin No 180.00 Hexenal,trans 2, 2.40 ena Woody Cedramber IFF 120.00 Tropicalia 10% IFF - 2.00 Veltol Plus 28.00 TOTAL: 1,000.00 1,000.00 Spicy Safraleine 10% 24.00 Musk Ambrettolide IFF 48.00 Cetalor IF F 40.00 Amber Ciste Abs Sis F0785 12.00 *formula continues over next column C iff Blotter number (-): 03] (+): 04"
